classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
74,JNR CHOI,,,,TO THE MOON,JNR CHOI,2022,1,Parked Up,,Jeff Bhasker,Philip Lawrence,2021-11-06,sample,talking to the moon - Sam Tompkins
75,POLO,PAN,,,ANI KUNI,UNIVERSAL MUSIC FRANCE / UNIVERSAL MUSIC DIVISION VIRGIN RECORDS DISTRIBUTION DEAL,2022,1,,,,,2021-05-07,,
76,SIA,AMIR,,,1+1,WARNER / MONKEY PUZZLE/ATLANTIC,2022,1,Jesse Shatkin,,Jesse Shatkin,Sia,2021-02-12,,
77,JUL,,,,"PIC ET PIC, ALCOOL ET DRAME",BELIEVE / D'OR ET DE PLATINE,2022,1,Nass Prod,,JuL,,2021-06-25,,
78,LIL NAS X,,,,MONTERO,SONY MUSIC ENTERTAINMENT / COLUMBIA,2022,1,Take a Daytrip,,Lil Nas X,,,,
79,BONEY M.,,,,RASPUTIN,SONY MUSIC ENTERTAINMENT / NITRON MUSIC,2022,1,Frank Farian,,George Reyam,Fred Jay,1978-08-28,sample,Mega Mix: Rivers of Babylon/Sunny/Daddy Cool/Ma Baker/Rasputin - Boney M.
80,MÅNESKIN,,,,BEGGIN',SONY MUSIC ENTERTAINMENT / RCA RECORDS LABEL,2022,1,Måneskin,Lucio Fabbri,Peggy Farina,Bob Gaudio,2017-12-08,sample,Beggin (Intro) - Bos Flip
81,RITON,,,,FRIDAY,SONY MUSIC ENTERTAINMENT / MINISTRY OF SOUND RECORDINGS,2022,1,Dopamine,Riton,Renny Wilson,Hugh Brankin,2021-01-15,sample,Push the Feeling On - Nightcrawlers
82,DUA LIPA,DABABY,,,LEVITATING,WARNER / WARNER RECORDS,2022,1,,,,,,,
83,LETO,TIAKOLA,,,MAPESSA,REC. 118 / WINTERFELL,2022,1,HoloMobb,Boumidjal,Tiakola,Leto,2021-09-17,,
84,JUL,,,,LA STREET FEAT. MORAD,BELIEVE / D'OR ET DE PLATINE,2022,1,Scar (FRA),Voluptyk,Morad,JuL,2021-12-10,,
85,MASTER KG,NOMCEBO ZIKODE,,,JERUSALEMA,WARNER / ELEKTRA FRANCE,2022,1,Master KG,,Nomcebo Zikode,,2019-10-11,,
86,NINHO,,,,LA VIE QU ON MENE,REC. 118 / MAL LUNE MUSIC,2022,1,Chady,,Ninho,,2019-03-22,sample,Chagrin des bons moments - PSO Thug
87,DJADJA,DINAZ,,,DANS LE RÉSEAU,BELIEVE / CARRÉ MUSIC,2022,1,Mike Btz,,Dinaz,Djadja,2021-09-08,,
88,THE WEEKND,,,,TAKE MY BREATH,ISLAND DEF JAM / UNIVERSAL MUSIC,2022,1,The Weeknd,Oscar Holter,Oscar Holter,Belly,2021-08-06,sample,damn! we got it bad: you’ll never guess what happens next - leroy
89,KENDJI GIRAC,,,,DANS MES BRAS,ISLAND DEF JAM,2022,1,Renaud Rebillaud,,Dadju,Kendji Girac,2020-10-09,,
90,THERAPIE TAXI,,,,ETÉ 90,PANENKA MUSIC,2022,1,Vincent Duteuil,Zaoui,,,2021-01-08,,
91,NISKA,,,,MAPESS,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,Dada (FRA),Trent 700,Niska,Chady,2021-10-08,,
92,LAETI,,,,RIDER TOUTE LA NIGHT,BELIEVE / PLAY TWO,2022,1,Philippe Delsart,Evi,Stan Bridge,Laeti,2021-10-11,,
93,MENACE SANTANA,,,,VENGEANCE !,ADA FRANCE / FAKE DREAM MUSIC/ADA FRANCE,2022,1,Lewnwv,,​menace Santana,,2021-12-17,,
94,ORELSAN,,,,SHONEN,WAGRAM / WAGRAM MUSIC / 3ÈME BUREAU,2022,1,Skread,,OrelSan,,2021-11-19,,
95,DADJU,ANITTA,,,MON SOLEIL,POLYDOR,2022,1,Nyadjiko,,Anitta,Dadju,2021-06-03,,
